Symbol,Name,Sector,Industry
066790,씨씨에스,텔레비전 방송업,케이블TV서비스 및 초고속인터넷서비스
225330,씨엠에스에듀,일반 교습 학원,융합사고력 프로그램
101240,씨큐브,기초 화학물질 제조업,진주광택안료
047920,씨트리,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정"
013990,아가방컴퍼니,생활용품 도매업,유아용 의류 및 용품
052710,아모텍,전자부품 제조업,"칩바리스터, 아몰퍼스코어"
092040,아미코젠,기타 식품 제조업,제약용 특수효소 및 효소기반 바이오신소재
038880,아이에이,전자부품 제조업,자동차용 반도체
065660,안트로젠,기초 의약물질 및 생물학적 제제 제조업,줄기세포치료제
174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,항체의약품
275630,에스에스알,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅"
041510,에스엠,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리"
109610,에스와이패널,"구조용 금속제품, 탱크 및 증기발생기 제조업",샌드위치 패널
288620,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지"
088800,에이스테크,통신 및 방송 장비 제조업,"단말기용안테나,기지국용안테나"
028300,에이치엘비,선박 및 보트 건조업,"각종 산업용 밸브류, 제지·제철용기계,기타 특수목적용 산업기계"
043220,에이치엘비파워,상품 종합 도매업,"발전설비 Damper, 전력설비 Busway"
109960,에이프로젠 H&G,통신 및 방송 장비 제조업,"차량용블루투스핸즈프리스피커폰, 가로동/보안등 어시스템, 모바일게임 퍼블리싱, 바이오의약품 연구개발업 및 판매, 생산설비 및 연구장비의 대여 및 판매"
073540,에프알텍,통신 및 방송 장비 제조업,이동통신용중계기
273060,엔에이치스팩12호,금융 지원 서비스업,기업인수합병
183490,엔지켐생명과학,기초 의약물질 및 생물학적 제제 제조업,"EC-18(신약), 원료의약품"
073110,엘엠에스,사진장비 및 광학기기 제조업,프리즘시트
170920,엘티씨,기초 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액
179290,엠아이텍,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기
032790,엠젠플러스,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기"
115960,연우,플라스틱제품 제조업,화장품 용기
007530,영신금속,기타 금속 가공제품 제조업,"볼트, 나사"
265560,영화테크,자동차 신품 부품 제조업,자동차 정션박스 등
