Date,Close,Open,High,Low,Volume,Change
2017-03-29,281.86,282.52,282.54,281.27,68200.0,0.0022
2017-03-30,281.66,282.44,283.11,280.95,58290.0,-0.0007000000000000001
2017-03-31,280.64,282.03,282.09,280.63,59370.0,-0.0036
2017-04-03,281.6,281.51,282.35,280.85,56540.0,0.0034000000000000002
2017-04-04,280.92,281.25,281.77,280.32,59580.0,-0.0024
2017-04-05,280.74,280.99,281.36,278.76,72390.0,-0.0006
2017-04-06,279.47,279.57,279.81,278.2,56810.0,-0.0045000000000000005
2017-04-07,279.01,279.64,279.82,277.63,65060.0,-0.0016
2017-04-10,277.21,278.69,278.69,276.5,59920.0,-0.006500000000000001
2017-04-11,275.49,276.55,277.46,275.01,59390.0,-0.0062
2017-04-12,276.21,276.11,276.43,275.28,57610.0,0.0026
2017-04-13,279.12,276.38,279.12,275.66,74100.0,0.0105
2017-04-14,277.31,277.59,278.14,276.12,44580.0,-0.006500000000000001
2017-04-17,278.1,278.06,279.06,277.49,47710.0,0.0028000000000000004
2017-04-18,278.23,279.36,279.42,277.05,54710.0,0.0005
2017-04-19,276.49,277.66,278.07,275.97,65260.00000000001,-0.0063
2017-04-20,277.76,276.32,278.04,275.75,69510.0,0.0046
2017-04-21,280.05,279.44,280.89,278.8,60450.0,0.008199999999999999
2017-04-24,281.96,281.66,282.04,280.81,68130.0,0.0068000000000000005
2017-04-25,285.41,282.17,285.47,282.0,76980.0,0.012199999999999999
2017-04-26,286.78,286.04,287.22,285.79,84110.0,0.0048
2017-04-27,287.34,285.8,287.76,285.52,83540.0,0.002
2017-04-28,287.21,288.51,289.02,286.76,78760.0,-0.0005
2017-05-02,289.65,288.6,291.12,288.39,69810.0,0.0085
2017-05-04,292.47,290.53,292.47,290.53,65040.00000000001,0.0097
2017-05-08,299.86,292.95,299.86,292.66,102040.0,0.0253
2017-05-10,296.19,299.81,304.26,295.53,128100.0,-0.012199999999999999
2017-05-11,299.75,297.25,300.22,296.35,111190.0,0.012
2017-05-12,298.25,299.78,300.1,297.84,74390.0,-0.005
2017-05-15,298.87,298.54,299.84,297.51,58670.0,0.0021
2017-05-16,299.67,301.25,301.65,298.05,97290.0,0.0027
2017-05-17,299.34,299.02,299.95,297.9,77840.0,-0.0011
2017-05-18,298.47,296.34,298.78,295.66,83320.0,-0.0029
2017-05-19,298.08,298.26,299.1,297.44,74780.0,-0.0013
2017-05-22,300.63,299.76,300.7,298.98,71070.0,0.0086
2017-05-23,301.36,301.44,303.7,300.41,76650.0,0.0024
2017-05-24,301.71,302.32,302.79,301.23,111990.0,0.0012
2017-05-25,305.22,302.83,305.34,302.18,100090.0,0.0116
2017-05-26,306.96,305.41,308.51,305.07,98100.0,0.005699999999999999
2017-05-29,306.52,307.98,309.32,305.13,105980.0,-0.0014000000000000002
2017-05-30,304.59,306.89,306.99,303.11,94120.0,-0.0063
2017-05-31,304.67,303.79,306.18,303.64,114680.0,0.0003
2017-06-01,304.03,304.74,305.3,302.99,77250.0,-0.0021
2017-06-02,307.83,305.34,308.01,305.27,94030.0,0.0125
2017-06-05,307.33,308.52,308.59,306.79,76120.0,-0.0016
2017-06-07,305.68,306.94,307.59,305.42,87990.0,-0.0054
2017-06-08,306.25,305.7,306.87,304.17,126080.0,0.0019
2017-06-09,309.38,307.51,310.02,307.17,118710.0,0.0102
2017-06-12,306.24,307.74,308.31,305.59,95850.0,-0.0101
2017-06-13,308.02,306.25,308.29,306.25,94390.0,0.0058
2017-06-14,307.95,309.53,310.05,307.03,113450.0,-0.0002
2017-06-15,306.69,308.02,308.83,305.04,95410.0,-0.0040999999999999995
2017-06-16,306.79,306.97,307.4,305.82,87840.0,0.0003
2017-06-19,308.61,307.14,309.29,306.19,87800.0,0.0059
2017-06-20,309.31,310.55,310.63,308.72,122390.0,0.0023
2017-06-21,307.52,307.61,308.0,306.13,100930.0,-0.0058
2017-06-22,309.47,308.6,309.47,307.28,88480.0,0.0063
2017-06-23,310.26,309.36,310.58,308.96,81460.0,0.0026
2017-06-26,311.89,310.53,312.22,310.13,71900.0,0.0053
2017-06-27,312.12,311.72,312.95,311.05,131750.0,0.0007000000000000001
2017-06-28,310.84,310.71,312.03,310.47,94920.0,-0.0040999999999999995
2017-06-29,312.56,312.86,313.79,312.26,103110.0,0.0055000000000000005
2017-06-30,311.76,310.61,311.76,310.17,73220.0,-0.0026
